Customer ID,Monetaire_Total_Depense,Frequence_Nb_Commandes,Date_Premier_Achat,R_Score,F_Score,M_Score,RFM_Somme,RFM_Pourcentage
12400,205.25,1,2010-10-21 13:45:00,4,1,1,6,200
12401,84.3,1,2011-02-09 13:50:00,4,1,1,6,200
12402,1244.15,7,2010-02-07 12:41:00,4,4,4,12,400
12403,1001.36,3,2010-07-06 11:39:00,2,2,3,7,233
12404,63.24,1,2010-01-26 16:25:00,5,1,1,7,233
12405,1710.39,1,2011-07-14 08:52:00,3,1,4,8,267
12406,6072.21,7,2010-01-11 14:04:00,2,4,5,11,367
12407,1708.1200000000001,5,2011-03-20 13:21:00,2,3,4,9,300
12408,4279.64,14,2010-07-29 13:27:00,2,5,5,12,400
12409,23090.47,13,2010-05-23 15:21:00,3,5,5,13,433
12410,1001.46,4,2010-07-25 13:26:00,4,3,3,10,333
12411,346.9,1,2010-10-26 09:25:00,4,1,2,7,233
12412,2581.03,8,2010-06-18 13:22:00,3,4,4,11,367
12413,935.5,6,2010-11-02 13:26:00,3,4,3,10,333
12414,692.41,8,2010-09-02 12:22:00,4,4,3,11,367
12415,143269.29,33,2010-06-30 08:30:00,2,5,5,12,400
12416,202.56,1,2010-02-21 10:19:00,5,1,1,7,233
12417,6688.71,27,2009-12-06 10:30:00,1,5,5,11,367
12418,2016.95,5,2010-03-19 14:47:00,3,3,4,10,333
12419,503.01,2,2010-10-22 10:40:00,4,2,2,8,267
12420,600.39,1,2011-10-07 08:55:00,3,1,3,7,233
12421,1092.83,8,2010-07-22 13:57:00,1,4,3,8,267
12422,4119.35,21,2009-12-18 12:44:00,3,5,5,13,433
12423,2612.19,11,2010-08-31 09:31:00,1,5,4,10,333
12424,3289.78,7,2009-12-07 14:43:00,3,4,5,12,400
12425,1680.81,3,2010-09-17 14:10:00,3,2,4,9,300
12426,1311.41,3,2010-02-15 08:41:00,4,2,4,10,333
12427,708.37,5,2010-12-03 10:44:00,1,3,3,7,233
12428,7877.2,12,2011-03-01 09:33:00,2,5,5,12,400
12429,6154.01,9,2010-06-11 13:28:00,1,4,5,10,333
12430,256.4,1,2011-10-27 15:09:00,2,1,2,5,167
12431,10293.66,33,2010-01-15 09:04:00,2,5,5,12,400
12432,5059.32,5,2011-06-20 13:27:00,2,3,5,10,333
12433,16641.74,11,2010-08-20 09:23:00,1,5,5,11,367
12434,1062.48,5,2010-11-23 13:38:00,3,3,3,9,300
12435,13925.93,6,2009-12-02 13:58:00,3,4,5,12,400
12436,509.01,1,2011-09-01 12:09:00,3,1,2,6,200
12437,12394.85,47,2009-12-02 16:24:00,1,5,5,11,367
12438,2906.85,2,2011-07-22 13:29:00,1,2,5,8,267
12439,1089.18,3,2009-12-14 08:40:00,5,2,3,10,333
12440,768.15,3,2009-12-22 12:03:00,5,2,3,10,333
12441,173.55,1,2010-12-08 10:45:00,4,1,1,6,200
12442,172.06,1,2011-12-06 14:22:00,1,1,1,3,100
12443,485.31,1,2009-12-07 15:42:00,5,1,2,8,267
12444,5005.46,5,2011-06-21 14:00:00,2,3,5,10,333
12445,426.48,3,2010-10-15 12:28:00,2,2,2,6,200
12446,1002.3100000000001,1,2011-10-13 12:50:00,2,1,3,6,200
12447,476.49,1,2011-04-10 13:25:00,4,1,2,7,233
12448,449.45,1,2011-10-26 13:46:00,2,1,2,5,167
12449,4835.89,6,2010-09-27 09:37:00,2,4,5,11,367
12450,666.95,7,2010-08-22 13:11:00,3,4,3,10,333
12451,12546.53,10,2010-06-28 12:58:00,1,4,5,10,333
12452,428.57,3,2011-11-23 08:05:00,1,2,2,5,167
12453,707.09,1,2011-07-28 14:08:00,3,1,3,7,233
12454,4292.71,9,2010-01-26 16:24:00,2,4,5,11,367
12455,5879.95,10,2009-12-18 12:33:00,3,4,5,12,400
12456,3153.89,4,2011-03-30 09:12:00,2,3,5,10,333
12457,2472.31,14,2010-09-30 17:59:00,2,5,4,11,367
12458,1777.49,4,2010-08-09 10:33:00,3,3,4,10,333
12459,454.36,1,2010-04-13 14:53:00,5,1,2,8,267
12460,326.65,1,2010-09-09 13:51:00,5,1,2,8,267
12461,826.88,2,2011-07-08 10:23:00,3,2,3,8,267
12462,1124.01,4,2011-02-09 14:44:00,1,3,3,7,233
12463,1303.63,7,2011-04-12 12:47:00,2,4,4,10,333
12464,1212.05,8,2011-02-03 13:30:00,1,4,4,9,300
12465,733.89,3,2011-06-23 13:37:00,1,2,3,6,200
12466,56.73,1,2010-01-26 16:26:00,5,1,1,7,233
12467,0.0,2,2010-10-12 15:41:00,4,2,1,7,233
12468,3624.55,10,2010-01-19 12:13:00,3,4,5,12,400
12469,3070.54,2,2010-06-21 10:30:00,5,2,5,12,400
12470,211.95,1,2010-01-19 11:01:00,5,1,1,7,233
12471,37920.01,129,2009-12-02 14:43:00,1,5,5,11,367
12472,15447.69,37,2009-12-09 10:47:00,2,5,5,12,400
12473,2837.73,9,2011-06-01 10:15:00,2,4,5,11,367
12474,11948.75,54,2010-02-11 09:41:00,1,5,5,11,367
12475,1149.64,2,2010-10-26 08:49:00,2,2,3,7,233
12476,13684.12,38,2010-07-26 09:04:00,1,5,5,11,367
12477,20173.64,12,2010-03-26 14:01:00,2,5,5,12,400
12478,680.99,1,2011-12-06 09:56:00,1,1,3,5,167
12479,477.3,3,2011-11-28 13:26:00,1,2,2,5,167
12480,5435.1,8,2010-07-20 13:21:00,2,4,5,11,367
12481,12041.15,18,2010-04-11 13:10:00,2,5,5,12,400
12482,21893.53,32,2010-02-24 10:24:00,5,5,5,15,500
12483,4823.47,27,2010-01-31 13:28:00,1,5,5,11,367
12484,6287.8,16,2009-12-03 10:57:00,2,5,5,12,400
12485,708.1,1,2010-06-28 15:22:00,5,1,3,9,300
12486,1037.28,1,2010-10-04 12:14:00,5,1,3,9,300
12487,259.79999999999995,2,2009-12-09 09:16:00,5,2,2,9,300
12488,1298.66,3,2011-09-25 10:34:00,1,2,4,7,233
12489,334.93,1,2011-01-07 13:13:00,4,1,2,7,233
12490,9818.64,22,2009-12-01 12:52:00,1,5,5,11,367
12491,460.40000000000003,1,2011-11-01 12:18:00,2,1,2,5,167
12492,715.21,3,2010-11-01 14:58:00,3,2,3,8,267
12493,416.79,3,2011-05-26 14:53:00,3,2,2,7,233
12494,1685.92,17,2010-05-12 13:52:00,1,5,4,10,333
12495,323.4,2,2010-03-09 10:53:00,5,2,2,9,300
12496,45.34,2,2010-03-29 13:57:00,5,2,1,8,267
12497,6211.75,4,2010-01-26 17:21:00,3,3,5,11,367
12498,403.70000000000005,3,2011-10-13 09:30:00,2,2,2,6,200
12499,393.72,1,2010-05-28 15:12:00,5,1,2,8,267
12500,5872.31,25,2010-02-04 15:05:00,2,5,5,12,400
12501,2089.68,2,2011-01-07 12:28:00,4,2,4,10,333
12502,3723.87,5,2011-02-03 10:41:00,3,3,5,11,367
12503,0.0,2,2010-05-04 13:59:00,4,2,1,7,233
12504,411.0,6,2010-04-22 10:24:00,1,4,2,7,233
12505,908.0,3,2010-10-27 09:18:00,4,2,3,9,300
12506,73.5,1,2011-04-21 08:54:00,4,1,1,6,200
12507,1797.31,5,2010-05-04 09:23:00,3,3,4,10,333
12508,397.88,2,2011-11-10 16:27:00,2,2,2,6,200
12509,176.5,1,2011-02-28 14:45:00,4,1,1,6,200
12510,3689.33,16,2009-12-04 13:47:00,3,5,5,13,433
12511,3065.77,2,2010-10-07 10:39:00,5,2,5,12,400
12512,132.18,2,2011-10-04 14:53:00,3,2,1,6,200
12513,586.79,2,2011-08-19 10:51:00,3,2,3,8,267
12514,1597.76,2,2010-03-08 12:18:00,4,2,4,10,333
12515,383.7,1,2010-12-21 15:43:00,4,1,2,7,233
12516,2648.62,4,2010-04-19 14:14:00,3,3,4,10,333
12517,2443.65,6,2011-06-02 15:13:00,2,4,4,10,333
12518,2056.89,5,2011-08-21 13:18:00,1,3,4,8,267
12519,685.19,3,2010-08-20 08:21:00,3,2,3,8,267
12520,2582.51,6,2011-03-11 11:35:00,3,4,4,11,367
12521,599.68,1,2011-07-20 10:51:00,3,1,3,7,233
12522,192.72,2,2011-10-19 14:41:00,2,2,1,5,167
12523,4201.05,30,2009-12-02 10:28:00,1,5,5,11,367
12524,11091.36,18,2010-02-08 14:41:00,1,5,5,11,367
12525,835.1800000000001,8,2009-12-04 10:10:00,5,4,3,12,400
12526,1316.66,3,2011-09-06 14:19:00,1,2,4,7,233
12527,735.51,5,2010-06-28 15:37:00,3,3,3,9,300
12528,1922.28,8,2011-01-31 09:05:00,1,4,4,9,300
12529,311.78000000000003,2,2010-06-29 13:10:00,5,2,2,9,300
12530,3689.86,12,2010-03-07 14:37:00,3,5,5,13,433
12531,1899.05,3,2010-01-22 14:17:00,1,2,4,7,233
12532,349.83000000000004,1,2011-11-09 13:47:00,2,1,2,5,167
12533,1149.99,6,2009-12-01 11:50:00,5,4,3,12,400
12534,1089.18,1,2011-08-01 10:26:00,3,1,3,7,233
12535,716.35,2,2011-06-06 12:47:00,3,2,3,8,267
12536,4106.82,5,2011-10-11 14:52:00,1,3,5,9,300
12537,732.94,1,2010-10-27 08:36:00,4,1,3,8,267
12538,640.45,2,2010-11-26 13:02:00,2,2,3,7,233
12539,9498.9,8,2009-12-23 13:00:00,2,4,5,11,367
12540,22107.29,36,2009-12-07 16:56:00,2,5,5,12,400
12541,981.18,3,2011-03-04 09:32:00,2,2,3,7,233
12542,423.38,4,2010-03-09 16:26:00,5,3,2,10,333
12543,980.25,1,2010-09-17 15:51:00,5,1,3,9,300
12544,355.7,2,2011-11-03 16:15:00,2,2,2,6,200
12545,1000.39,2,2011-03-25 12:04:00,3,2,3,8,267
12546,1141.5,3,2011-09-23 09:44:00,2,2,3,7,233
12547,383.58,3,2010-07-27 13:55:00,4,2,2,8,267
12548,95.19999999999999,1,2011-06-26 15:35:00,3,1,1,5,167
12549,1575.68,6,2010-01-11 12:29:00,5,4,4,13,433
12550,964.83,1,2011-09-21 14:35:00,3,1,3,7,233
12551,168.0,1,2010-12-17 11:23:00,4,1,1,6,200
12552,437.82,2,2011-10-31 12:11:00,2,2,2,6,200
12553,4548.82,17,2010-10-12 13:35:00,1,5,5,11,367
12554,468.5,1,2010-09-17 12:29:00,5,1,2,8,267
12555,129.23,1,2010-01-26 16:26:00,5,1,1,7,233
12556,599.56,2,2011-07-11 13:35:00,2,2,3,7,233
12557,18096.14,8,2009-12-17 10:39:00,1,4,5,10,333
12558,1.0658141036401503e-14,2,2011-12-02 10:41:00,1,2,1,4,133
12559,536.21,3,2011-01-24 10:12:00,4,2,2,8,267
12560,2101.39,4,2011-07-19 15:55:00,1,3,4,8,267
12561,238.85,1,2011-02-10 11:39:00,4,1,1,6,200
12562,4966.92,9,2010-09-30 13:13:00,1,4,5,10,333
12563,249.24,1,2010-10-27 09:52:00,4,1,1,6,200
12564,456.9,1,2011-03-23 14:55:00,4,1,2,7,233
12565,131.17,2,2011-02-24 10:34:00,4,2,1,7,233
12566,346.7,2,2011-09-14 14:30:00,3,2,2,7,233
12567,11451.44,17,2010-02-11 10:30:00,2,5,5,12,400
12568,70.0,1,2010-03-05 09:15:00,5,1,1,7,233
12569,4064.9900000000002,35,2011-04-01 13:47:00,1,5,5,11,367
12570,77.52,1,2010-01-26 17:28:00,5,1,1,7,233
12571,519.61,2,2011-08-10 12:35:00,2,2,2,6,200
12572,1004.72,3,2011-10-19 08:20:00,1,2,3,6,200
12573,717.41,5,2010-08-31 17:25:00,4,3,3,10,333
12574,218.45,1,2011-01-28 09:20:00,4,1,1,6,200
12575,622.8199999999999,2,2010-07-01 09:15:00,5,2,3,10,333
12576,2083.87,11,2010-07-01 13:46:00,2,5,4,11,367
12577,1554.7,9,2009-12-03 19:31:00,2,4,4,10,333
12578,4572.45,7,2010-09-22 11:19:00,2,4,5,11,367
12579,410.72,3,2011-09-22 17:15:00,3,2,2,7,233
12580,1052.9,2,2010-05-12 11:45:00,4,2,3,9,300
12581,197.71,1,2011-10-31 08:56:00,2,1,1,4,133
12582,1980.4,4,2010-05-11 09:55:00,4,3,4,11,367
12583,13489.039999999999,31,2009-12-06 11:57:00,1,5,5,11,367
12584,1893.95,18,2011-03-04 15:15:00,1,5,4,10,333
12585,1982.81,4,2010-12-23 12:58:00,4,3,4,11,367
12586,2045.67,5,2009-12-16 13:15:00,1,3,4,8,267
12587,144.0,1,2011-12-02 12:47:00,1,1,1,3,100
12588,938.98,5,2010-04-21 12:22:00,2,3,3,8,267
12589,3094.17,11,2010-01-19 12:26:00,2,5,5,12,400
12590,9853.48,5,2010-04-12 07:20:00,3,3,5,11,367
12591,1338.95,3,2010-10-27 10:42:00,4,2,4,10,333
12592,1152.62,8,2010-07-08 14:06:00,3,4,3,10,333
12593,418.09999999999997,3,2011-05-05 09:29:00,3,2,2,7,233
12594,5044.51,17,2010-03-03 13:51:00,2,5,5,12,400
12595,299.02,1,2010-07-23 09:10:00,5,1,2,8,267
12596,618.27,2,2011-04-11 13:22:00,2,2,3,7,233
12597,3683.13,5,2011-03-16 14:00:00,2,3,5,10,333
12598,4414.67,15,2010-03-01 09:58:00,1,5,5,11,367
12599,2296.72,13,2010-05-11 10:42:00,2,5,4,11,367
12600,4879.29,26,2009-12-07 13:37:00,2,5,5,12,400
12601,673.76,7,2010-10-31 10:57:00,3,4,3,10,333
12602,153.12,1,2011-10-12 11:22:00,3,1,1,5,167
12603,739.1999999999999,1,2011-11-18 10:42:00,2,1,3,6,200
12604,254.18,2,2011-03-23 12:06:00,3,2,1,6,200
12605,1225.45,5,2010-09-07 14:21:00,4,3,4,11,367
12606,21.0,1,2010-01-26 16:23:00,5,1,1,7,233
12607,3.552713678800501e-15,2,2011-10-10 16:06:00,2,2,1,5,167
12608,415.79,1,2010-10-31 10:49:00,4,1,2,7,233
12609,3417.86,10,2009-12-20 13:30:00,3,4,5,12,400
12610,2057.99,7,2011-08-05 13:52:00,2,4,4,10,333
12611,1193.32,1,2011-10-18 13:12:00,2,1,4,7,233
12612,643.59,2,2011-09-26 15:35:00,2,2,3,7,233
12613,6573.82,13,2009-12-14 13:10:00,2,5,5,12,400
12614,315.6,1,2011-03-07 10:22:00,4,1,2,7,233
12615,5564.88,11,2009-12-01 12:09:00,1,5,5,11,367
12616,1045.35,7,2010-11-16 11:38:00,3,4,3,10,333
12617,352.98,1,2011-11-10 14:39:00,2,1,2,5,167
12618,177.31,1,2011-11-18 11:10:00,2,1,1,4,133
12619,3354.95,14,2010-05-28 12:52:00,1,5,5,11,367
12620,1339.41,3,2011-05-19 12:10:00,1,2,4,7,233
12621,24114.7,44,2010-02-09 12:01:00,1,5,5,11,367
12622,180.1,1,2011-04-21 16:39:00,4,1,1,6,200
12623,3639.84,9,2010-01-12 11:45:00,4,4,5,13,433
12624,641.13,2,2011-06-15 12:34:00,3,2,3,8,267
12625,5095.38,5,2010-04-22 11:33:00,4,3,5,12,400
12626,6388.35,13,2011-01-17 11:01:00,2,5,5,12,400
12627,4478.53,7,2011-07-22 13:59:00,1,4,5,10,333
12628,769.61,4,2011-10-06 09:28:00,1,3,3,7,233
12629,1558.22,2,2010-10-12 16:40:00,4,2,4,10,333
12630,1270.88,2,2011-10-27 10:41:00,1,2,4,7,233
12631,3452.27,7,2010-01-15 14:50:00,2,4,5,11,367
12632,738.88,4,2010-05-24 09:07:00,5,3,3,11,367
12633,5595.21,10,2010-07-02 11:44:00,3,4,5,12,400
12634,490.0,2,2010-06-09 15:41:00,5,2,2,9,300
12635,2930.41,4,2010-09-09 10:50:00,3,3,5,11,367
12636,141.0,1,2009-12-01 09:55:00,5,1,1,7,233
12637,8215.16,14,2010-06-14 13:36:00,3,5,5,13,433
12638,921.49,2,2010-03-10 10:30:00,2,2,3,7,233
12639,1312.37,3,2010-03-22 09:05:00,4,2,4,10,333
12640,1174.58,3,2011-09-19 12:01:00,2,2,4,8,267
12641,185.9,1,2011-08-16 13:26:00,3,1,1,5,167
12642,1013.26,3,2011-08-24 09:23:00,2,2,3,7,233
12643,7835.3,14,2010-04-07 14:16:00,3,5,5,13,433
12644,1815.54,6,2010-01-14 13:02:00,3,4,4,11,367
12645,3499.1,10,2010-02-09 10:49:00,2,4,5,11,367
12646,1346.97,2,2011-10-21 12:52:00,1,2,4,7,233
12647,16713.99,45,2010-01-13 15:06:00,2,5,5,12,400
12648,1097.0,5,2010-01-07 18:38:00,3,3,3,9,300
12649,2258.5,10,2010-01-12 17:24:00,3,4,4,11,367
12650,314.44,1,2011-12-06 16:34:00,1,1,2,4,133
12651,365.3,5,2010-08-31 15:21:00,4,3,2,9,300
12652,1011.58,3,2010-10-01 15:16:00,4,2,3,9,300
12653,4160.83,3,2010-07-01 09:56:00,3,2,5,10,333
12654,601.98,5,2011-02-17 13:16:00,1,3,3,7,233
12655,261.35,1,2010-10-12 09:17:00,5,1,2,8,267
12656,6320.78,12,2010-05-26 09:00:00,1,5,5,11,367
12657,1152.06,5,2011-09-22 11:40:00,1,3,3,7,233
12658,686.05,1,2011-11-21 10:22:00,2,1,3,6,200
12659,91.68,1,2011-11-10 11:53:00,2,1,1,4,133
12660,245.1,1,2011-11-28 13:26:00,1,1,1,3,100
12661,162.0,1,2010-09-29 16:46:00,5,1,1,7,233
12662,6687.6900000000005,22,2010-04-01 09:50:00,1,5,5,11,367
12663,204.0,3,2010-02-09 14:28:00,5,2,1,8,267
12664,6052.04,12,2009-12-13 10:28:00,1,5,5,11,367
12665,301.45,5,2010-02-08 15:11:00,4,3,2,9,300
12666,1020.98,2,2010-11-10 16:40:00,4,2,3,9,300
12667,620.13,1,2011-10-12 17:00:00,2,1,3,6,200
12668,11319.06,12,2010-01-31 15:45:00,1,5,5,11,367
12669,1607.73,4,2011-03-28 10:15:00,3,3,4,10,333
12670,3750.39,8,2010-02-11 10:13:00,1,4,5,10,333
12671,2622.481,1,2010-04-12 16:30:00,5,1,4,10,333
12672,410.5,3,2010-04-23 09:57:00,4,2,2,8,267
12673,1230.02,3,2010-11-03 10:46:00,1,2,4,7,233
12674,1922.26,7,2011-05-16 09:10:00,1,4,4,9,300
12675,933.55,4,2010-05-10 16:44:00,5,3,3,11,367
12676,2773.09,12,2010-08-13 13:29:00,2,5,4,11,367
12677,389.3,3,2009-12-07 14:38:00,5,2,2,9,300
12678,33851.13,23,2010-01-07 16:46:00,2,5,5,12,400
12679,1058.67,9,2011-03-01 12:26:00,2,4,3,9,300
12680,880.81,4,2011-08-18 15:44:00,1,3,3,7,233
12681,29518.24,56,2009-12-13 13:31:00,1,5,5,11,367
12682,22862.12,53,2009-12-01 09:28:00,1,5,5,11,367
12683,11355.52,27,2009-12-13 15:01:00,1,5,5,11,367
12684,2283.63,7,2011-05-10 12:55:00,1,4,4,9,300
12685,2863.08,6,2011-09-07 10:28:00,2,4,5,11,367
12686,89.14,1,2010-12-03 09:51:00,4,1,1,6,200
12687,2138.91,2,2010-08-16 12:10:00,5,2,4,11,367
12688,4873.8099999999995,1,2011-08-18 08:49:00,3,1,5,9,300
12689,1247.61,2,2011-08-04 10:04:00,2,2,4,8,267
12690,389.01,1,2011-05-18 09:09:00,4,1,2,7,233
12691,1170.4,7,2010-10-15 12:00:00,2,4,4,10,333
12692,110.95,1,2010-03-12 14:02:00,5,1,1,7,233
12693,1640.42,11,2010-07-05 13:56:00,3,5,4,12,400
12694,1839.45,4,2010-10-14 19:39:00,3,3,4,10,333
12695,1407.1200000000001,7,2010-02-12 13:22:00,1,4,4,9,300
12696,801.15,3,2010-01-26 16:39:00,5,3,3,11,367
12697,939.02,5,2011-06-23 15:44:00,2,3,3,8,267
12698,339.75,1,2010-04-28 15:51:00,5,1,2,8,267
12699,638.11,1,2010-10-18 12:07:00,5,1,3,9,300
12700,4867.99,6,2011-05-08 16:10:00,1,4,5,10,333
12701,2446.41,6,2010-03-16 13:23:00,3,4,4,11,367
12702,219.0,1,2011-11-20 10:36:00,2,1,1,4,133
12703,892.18,7,2010-01-24 12:05:00,3,4,3,10,333
12704,2220.84,10,2011-06-23 10:20:00,1,4,4,9,300
12705,11554.0,22,2009-12-03 10:26:00,1,5,5,11,367
12706,-91.89,1,2010-01-26 16:25:00,5,1,1,7,233
12707,603.42,1,2011-02-21 08:38:00,4,1,3,8,267
12708,4921.72,30,2009-12-18 10:25:00,2,5,5,12,400
12709,29511.03,55,2009-12-09 13:49:00,1,5,5,11,367
12710,1130.57,4,2011-05-22 14:05:00,3,3,3,9,300
12711,1339.05,2,2010-02-01 11:30:00,5,2,4,11,367
12712,6521.78,28,2009-12-09 10:46:00,2,5,5,12,400
12713,848.55,1,2011-12-09 12:16:00,1,1,3,5,167
12714,14093.71,12,2009-12-04 10:00:00,1,5,5,11,367
12715,343.36,1,2011-08-25 15:22:00,3,1,2,6,200
12716,1053.49,2,2011-07-29 13:28:00,1,2,3,6,200
12717,1258.91,4,2010-04-28 14:34:00,3,3,4,10,333
12718,238.25,1,2011-09-29 16:38:00,3,1,1,5,167
12719,608.1,3,2011-10-05 14:50:00,1,3,3,7,233
12720,7574.49,41,2010-07-21 09:46:00,1,5,5,11,367
12721,3933.83,10,2010-08-25 11:07:00,2,4,5,11,367
12722,904.33,6,2011-07-12 11:55:00,3,4,3,10,333
12723,725.07,5,2011-10-05 15:52:00,1,3,3,7,233
12724,2317.52,7,2010-06-22 14:00:00,1,4,4,9,300
12725,2266.76,4,2010-05-04 13:59:00,4,3,4,11,367
12726,4014.6,11,2010-03-25 16:25:00,2,5,5,12,400
12727,5646.53,12,2010-02-23 09:54:00,1,5,5,11,367
12728,1070.17,5,2010-11-21 11:34:00,3,3,3,9,300
12729,453.01,1,2011-08-18 11:40:00,3,1,2,6,200
12730,829.25,1,2010-07-06 12:19:00,5,1,3,9,300
12731,25673.21,19,2010-03-02 09:23:00,2,5,5,12,400
12732,236.26000000000002,1,2011-06-13 11:33:00,3,1,1,5,167
12733,2326.82,6,2010-01-19 13:23:00,4,4,4,12,400
12734,639.65,3,2010-11-12 13:26:00,4,3,3,10,333
12735,779.5699999999999,2,2011-01-06 14:26:00,4,2,3,9,300
12736,234.0,1,2011-01-11 07:57:00,4,1,1,6,200
12737,3710.5,2,2010-07-29 12:27:00,5,2,5,12,400
12738,155.35,1,2010-12-02 18:27:00,4,1,1,6,200
12739,2726.73,4,2010-11-10 14:27:00,3,3,4,10,333
12740,427.6,1,2011-10-07 10:44:00,3,1,2,6,200
12741,406.07,2,2010-06-24 16:24:00,5,2,2,9,300
12742,1185.02,2,2010-03-24 12:43:00,5,2,4,11,367
12743,540.13,2,2011-07-28 16:06:00,3,2,2,7,233
12744,13158.16,14,2010-04-27 16:19:00,2,5,5,12,400
12745,925.41,3,2010-01-26 16:22:00,5,3,3,11,367
12746,230.85000000000002,3,2009-12-08 17:08:00,5,3,1,9,300
12747,8786.53,32,2009-12-07 13:23:00,1,5,5,11,367
12748,46933.33,364,2009-12-04 17:31:00,1,5,5,11,367
12749,6328.49,16,2010-07-06 15:05:00,1,5,5,11,367
12750,275.88,1,2011-08-03 09:13:00,3,1,2,6,200
12751,268.27,1,2010-09-21 12:49:00,5,1,2,8,267
12752,4366.78,1,2011-09-19 13:32:00,3,1,5,9,300
12753,21024.01,11,2010-12-12 11:44:00,1,5,5,11,367
12754,2949.12,5,2011-02-04 10:31:00,4,3,5,12,400
12755,2611.95,22,2009-12-02 10:55:00,4,5,4,13,433
12756,112.07999999999998,1,2011-09-14 09:31:00,3,1,1,5,167
12757,4205.25,19,2011-05-12 19:01:00,1,5,5,11,367
12758,9779.0,8,2009-12-01 14:40:00,3,4,5,12,400
12759,5020.74,8,2009-12-04 10:47:00,2,4,5,11,367
12760,347.8,1,2010-09-10 08:50:00,5,1,2,8,267
12761,782.95,2,2010-09-01 10:47:00,5,2,3,10,333
12762,1898.52,2,2011-11-14 14:23:00,1,2,4,7,233
12763,494.08,2,2010-12-05 15:46:00,3,2,2,7,233
12764,1693.88,1,2011-01-27 10:19:00,4,1,4,9,300
12765,1404.58,6,2010-03-08 09:43:00,5,4,4,13,433
12766,8877.14,11,2010-10-28 09:29:00,1,5,5,11,367
